や[編集]
やあ[編集]
吉口里奈（2014年）
吉崎沙南（よしざき さな）（1998年）（引退）
吉崎直緒（よしざき なお）（2005年）（引退）
吉沢あかね（よしざわ あかね）（1991年）（引退）
吉沢明歩（よしざわ あきほ）（2003年）
吉澤あさみ（よしざわ あさみ）（2002年）（引退）
吉沢ミズキ（よしざわ みずき）（2003年）（引退？）＝吉沢みずき
吉沢みなみ（よしざわ みなみ）（2008年）（引退）
吉沢美和（よしざわ みわ）（1998年）（引退）＝ 長谷川小夏
吉沢萌香（よしざわ もえか）（2000年）（引退）
吉沢友希（よしざわ ゆき）（2009年）
吉沢有希子（よしざわ ゆきこ）（1984年）（引退）＝いずみ由香、会沢由香、早見瞳
吉澤レイカ（よしざわ れいか）（2003年）
吉田敦子（よしだ あつこ）（2011年）＝西尾かおり
吉田あや（よしだ あや）（2007年）
吉田あゆみ（よしだ あゆみ）（1999年）（引退）
吉田えりか（よしだ えりか）（1998年）（引退）＝吉田絵理香
吉田茶羅（よしだ ちゃら）（2004年）（引退）
吉田花（よしだ はな）（2009年）
吉田密流（よしだ みつる）（1987年）（引退）
吉田遼子（よしだ りょうこ）（2010年）＝浦田みらい
吉竹めぐみ（よしたけ めぐみ）（1994年）（引退）
吉永あかね（よしなが あかね）（2013年）
吉永あき（よしなが あき）（2007年）
吉永あすか（よしなが あすか）（1994年）＝飛鳥いずみ
吉永恵美（よしなが えみ）（2009年）
吉永里美（よしなが さとみ）（1991年）（引退）
吉永純（よしなが じゅん）（2007年）（引退）
吉永なつき（よしなが なつき）（2007年）＝青山さつき
吉永瞳（よしなが ひとみ）（2009年）
吉永真弓（よしなが まゆみ）（1990年）（引退）
吉永ゆりあ（よしなが ゆりあ）（2003年）（引退）
吉野藍（よしの あおい）（2005年）（引退）
吉野さくら（よしの さくら）（2007年）
吉野サリー（よしの さりー）（1997年）＝立花きらら
吉野艶子（よしの つやこ）（2012年）
吉野瞳（よしの ひとみ）（引退）
吉乃ひとみ（よしの ひとみ）（2006年）
吉野まゆ（よしの まゆ）（2002年）（引退）
吉野真理（よしの まり）（1994年）（引退）
吉野碧（よしの みどり）（2004年）（引退）
