
さ[編集]
さあ[編集]
佐藤るり（さとう るり）（2004年）
佐藤ローラ（さとう ろーら）（2006年）（引退）
さとう和香（さとう わか）（2006年）
里崎あかね（さとざき あかね）（2009年）＝金森美奈
里中あきな（さとなか あきな）（2009年）＝持田百恵
里中あやか（さとなか あやか）（1995年）（引退）
里中亜矢子（さとなか あやこ）（2004年）（引退）
里中まりあ（さとなか まりあ）（死亡）
里仲ゆい（さとなか ゆい）（2008年）
里美かのん（さとみ かのん）（2004年）（引退）= 雨木夕紀
里見奈保（さとみ なほ）（2003年）（引退）
里深沙奈（さとみ さな）（2014年）
里見瑤子（さとみ ようこ）（2001年）
里美ゆりあ（さとみ ゆりあ）（2008年）＝小泉彩
里美由梨香（さとみ ゆりか）（1999年）（引退）
里美りん（さとみ りん）（2005年）
里美るうか（さとみ るうか）（2003年）
さな[編集]
紗奈（さな）（2008年）
真田さな（さなだ さな）（2010年）
真田春香（さなだ はるか）（2006年）
真田美伽（さなだ みか）（1997年）（引退）
真田ゆかり（さなだ ゆかり）（2005年）＝葵のぞみ
真田リサ（さなだ りさ）（2008年）
佐野あゆみ（さの あゆみ）（1992年）（引退）
佐野恭子（さの きょうこ）
佐野ともか（さの ともか）（2007年）
佐野史奈（さの ふみな）（2009年）（引退）
佐野るる（さの るる）（2008年）
さは[編集]
沙原かのん（さはら かのん）（2010年）
さま[編集]
鮫島レオ（さめじま れお）（1996年）（引退）
さや[編集]
紗也いつか（さやいつか）（2014年）
沙也加（さやか）（1988年）（引退）＝浅井沙也加
沙耶華（さやか）（2005年）＝京乃あづさ
佐山愛（さやま あい）（2007年）
佐山涼子（さやま りょうこ）（2011年）
沙雪（さゆき）（2004年）（引退）
さら[編集]
SARA（さら）（2009年）＝黒沢麗華
SARAH（さら）（2010年）
沙羅（さら）（2011年）
沙羅樹（さら いつき）（1986年）＝橋本ルミ
更田まき（さらだ まき）（2011年）＝清野ゆり
SARINA（さりな）（2005年）（引退）
沙里奈ユイ（さりな ゆい）（2002年）（引退）
さわ[編集]
澤綾香（さわ あやか）（2005年）（引退）
沢アリサ（さわ ありさ）（2008年）＝桜井エミリ
沢井加奈子（さわい かなこ）
沢井真帆（さわい まほ）（2005年）（引退）→沢田マイコ名で一時復帰
沢井美智（さわい みち）（2010年）
沢井芽衣（さわい めい）（2005年）
沢井理沙（さわい りさ）
沢井ゆかり（さわい ゆかり）
澤井由奈（さわい ゆな）（2007年）
沢井理沙（さわい ゆな）
沢井リサ（さわい りさ）
沢賀名（さわが めい）（1999年）（引退）
沢木理子（さわき さとこ）
沢木樹里（さわき じゅり）（2008年）
沢木まゆみ（さわき まゆみ）（2000年）（引退）
沢木まりえ（さわき まりえ）（1989年）（引退）
沢木ゆう子（さわき ゆうこ）（1985年）（引退）＝沢木夕子
沢木理名（さわき りな）（2002年）（引退）
さわきりほ （さわき りほ）（2012年)= 蒼乃ミク
沢木レア（さわき れあ）（引退）
沢北希望（さわきた のぞみ）（2008年）＝水城ゆうか
沢口愛子（さわぐち あいこ）（2007年）
沢口あすか（さわぐち あすか）（2002年）（引退）
沢口あやね（さわぐち あやね）（1996年）（引退）
沢口ケイ（さわぐち けい）（2003年）（引退）
沢口まりあ（さわぐち まりあ）（1991年）（引退）
沢口みき（さわぐち みき）（1996年）
沢口りな（さわぐち りな）（1995年）（引退）＝西条加奈、麻生舞
沢口梨々子（さわぐち りりこ）（1991年）（引退）
沢口るな（さわぐち るな）（2000年）＝桃井なつみ
沢尻アヤカ（さわじり あやか）（2007年）
沢尻マリナ（さわじり まりな）（2007年）＝小野寺沙希
沢尻ももか（さわじり ももか）（2009年）
沢尻もも美（さわじり ももみ）
沢田あいり（さわだ あいり）（2011年）＝椿のぞみ
沢田あかり（さわだ あかり）（引退）
沢田杏奈（さわだ あんな）（1993年）（引退）
沢田かすみ（さわだ かすみ）（1999年）（引退）
沢田珠里（さわだ じゅり）（2011年）＝小鳥遊恋、手塚みや
沢田舞香（さわだ まいか）（1998年）（引退）
沢田ゆう紀（さわだ ゆうき）（1993年）（引退）
沢田悠理（さわだ ゆうり）（1998年）（引退）
沢田麗奈（さわだ れいな）（2005年）（引退）
沢近由紀美（さわちか ゆきみ）（2009年）
佐和真由香（さわま ゆか）（2008年）
沢見ひかり（さわみ ひかり）（2002年）
澤宮有希（さわみや あき）（2000年）（引退）
澤宮英梨子（さわみや えりこ）（1998年）（引退）
沢本あすか（さわもと あすか）（2010年）（引退）
沢村ありす（さわむら ありす） ＝沢村アリス
沢村杏子（さわむら きょうこ）（1988年）（引退）
沢村サリナ（さわむら さりな）（2010年）＝ひかりれお
沢村奈々（さわむら なな）（2000年）（引退）＝聖さやか、伊吹まりあ、森田なお
沢村麻奈美（さわむら まなみ）（1995年）（引退）
沢村麻耶（さわむら まや）（2009年）
澤村美香（さわむら みか）（2008年）
沢村ゆかり（さわむら ゆかり）＝南かずは、稲葉明日香
沢村有希（さわむら ゆき）（2002年）（引退）
沢山涼子（さわやま りょうこ）（1997年）（引退）
沢良麻美（さわら あさみ）（2008年）（引退）
さん[編集]
三代目葵マリー（さんだいめあおいまりー）（1994年）
三宮里緒（さんのみや りお）（2000年）（引退）
し[編集]
しあ[編集]
椎名あきら（しいな あきら）（2004年）
椎名あこ（しいな あこ）（2007年）
椎名あずさ（しいな あずさ）（1994年）（引退）
椎名彩（しいな あや）（2011年）
しいないおり（しいな いおり）（2005年）
椎名泉（しいな いずみ）（2004年）
椎名エリ（しいな えり）（1999年）（引退）
椎名楓（しいな かえで）（2002年）
椎名くらら（しいな くらら）（2002年）（引退）
椎名くるみ（しいな くるみ）（2010年）＝小柳まりん
椎名このみ（しいな このみ）（1989年）（引退）
椎名沙織（しいな さおり）（1994年）（引退）
椎名詩織（しいな しおり）（2008年）
しいな純菜（しいな じゅんな）（1999年）（引退）
椎名ちひろ（しいな ちひろ）（2006年）
椎奈つばめ（しいな つばめ）（2009年）＝鈴夏ゆらん
椎名ひかる（しいな ひかる）（2010年）
椎名舞（しいな まい）（1996年）（引退）
椎名舞（しいな まい）（1998年）（引退）
椎名真希（しいな まき）（2000年）（引退）
椎名真理（しいな まり）（引退）
椎名まりな（しいな まりな）（2013年）
椎名みお（しいな みお）（?年）（引退）
椎名実果（しいな みか）（2003年）
椎名みくる（しいな みくる）（2010年）
椎名みずほ（しいな みずほ）（2012年）（旧：朝比奈みくる）
椎名みゆ（しいな みゆ）（2012年）
椎名めぐみ（しいな めぐみ）（2007年）
椎名ゆず（しいな ゆず）（2009年）
椎名ゆな（しいな ゆな）（2009年）
椎名ゆめ（しいな ゆめ）（2004年）（引退）
椎名るい（しいな るい）（引退）
椎名ルイ（しいな るい）（2008年）
椎名りく（しいな りく）（2006年）（引退）
椎名理紗（しいな りさ）（2012年）
しいな怜（しいな れい）（2004年）
椎名れいか（しいな れいか）（2005年）
しいのまお（しいの まお）（2008年）＝青木菜摘
Shelly（しぇりー）（2008年）＝藤井シェリー
汐見ゆうな（しおみ ゆうな）（2005年）
潮見百合子（しおみ ゆりこ）（2014年）
詩織（しおり）（2005年）＝ほしのまき
紫織（しおり）（1997年）（引退）
詩音（しおん）（2007年）
しか[編集]
志方いつみ（しかた いつみ）（1986年）（引退）
しさ[編集]
しずく（しずく）（2010年）＝初美沙希
雫月こと（しずく こと）（2013年）＝姫野あみゅ
雫パイン（しずく ぱいん）（2010年）（引退）
Gisele（じぜる）（2009年）
した[編集]
雫月ねね（しづき ねね）(2004年)
しな[編集]
品川杏奈（しながわ あんな）（2007年）
篠めぐみ（しの めぐみ）（2009年）
篠崎あみ（しのざき あみ）（2010年）
しのざきさとみ（しのざき さとみ）（1983年）＝三井綾子
篠崎ミサ（しのざき みさ）（2007年）（引退）
篠田あゆみ（しのだ あゆみ）（2010年）＝池田美和子
篠田えみり（しのだ えみり）（1995年）（引退）
篠田ゆう（しのだ ゆう）（2011年）
篠原麻美（しのはら あさみ）（2002年）（引退）
篠原鮎（しのはら あゆ）（1993年）（引退）
篠原杏（しのはら あん）（2010年）
篠原絵里香（しのはら えりか）（2006年）＝浜崎りお、森下えりか、えりか、森下ミキ
篠原さゆり（しのはら さゆり）（1991年）
篠原奈美（しのはら なみ）（2009年）
篠原真女（しのはら まお）（1996年）（引退）＝砂井春希
篠原まこと（しのはら まこと）（2000年）（引退）
篠原みい（しのはら みい）（2003年）＝奈月やよい、桜井あみ
篠原もえ（しのはら もえ）（2005年）（引退）
篠原友里恵（しのはら ゆりえ）（2011年）
篠原梨織（しのはら りお）（2010年）
篠原リョウ（しのはら りょう）（2008年）=三浦加奈
篠原るり（しのはら るり）
篠原玲奈（しのはら れな）（?年）（引退）
篠宮慶子（しのみや けいこ）（引退）
篠宮とも子（しのみや ともこ）（1986年）（引退）＝藤谷佐和子
篠宮知世（しのみや ちせ）（1995年）（引退）
篠宮ゆり（しのみや ゆり）（2012年）
しは[編集]
柴咲エリカ（しばさき えりか）（2012年）
芝咲まみ（しばさき まみ）（2007年）
柴咲ユウ（しばさき ゆう）（2005年）
柴田はるか（しばた はるか）（1992年）（引退）
柴田めぐみ（しばた めぐみ）（1990年）（引退）
渋川さゆり（しぶかわ さゆり）（引退）
渋沢みさ（しぶさわ みさ）（2006年）
渋谷あすか（しぶや あすか）（2008年）
渋谷亜美（しぶや あみ）（2003年）（引退）
渋谷ありす（しぶや ありす）（2014年）
澁谷果歩（しぶや かほ）（2014年）
渋谷まりな（しぶや まりな）（2000年）（引退）
渋谷美希（しぶや みき）（2014年）
渋谷梨果（しぶや りか）（2008年）
渋谷りな（しぶや りな）（2004年）＝上戸さや
志保（しほ）（2005年）
しま[編集]
島崎里美（しまざき さとみ）（1990年）（引退）
島崎麻友（しまざき まゆ）（2013年）
島崎りか（しまざき りか）（2011年）＝美幸ありす
島崎りこ（しまざき りこ）（2015年）
島崎梨乃（しまざき りの）（1984年）（引退）
島崎里矢（しまざき りや）（1990年）（引退）
島田香織（しまだ かおり）（1986年）＝優美かおり
嶋田加織（しまだ かおり）（1994年）（引退）
島田香奈（しまだ かな）（2005年）
嶋田琴美（しまだ ことみ）（1996年）（引退）
島田紗英（しまだ さえ）（1992年）（引退）
島田まい（しまだ まい）
島田百合花（しまだ ゆりか）（1995年）（引退）
島田陽子（しまだ ようこ）（2011年）
島谷小百合（しまたに さゆり）（2006年）
嶋村ゆかり（しまむら ゆかり）（2007年）
清水彩夏（しみず あやか）（引退）
清水かおり（しみず かおり）（1999年）（引退）＝千堂絵美
清水くらら（しみず くらら）（1997年）（引退）
清水しずか（しみず しずか）（引退）
清水麻希（しみず まき）（1996年）（引退）
清水舞（しみず まい）（2006年）（引退）
清水理紗（しみず りさ）（2014年）
志村玲子（しむら れいこ）（2006年）
霜月るな（しもつき るな）（2010年）
志紋ELLE（しもん える）（2009年）
しや[編集]
シャンドン萌（しゃんどん もえ）（2008年）
樹里あんな（じゅり あんな）（1993年）（引退）
純奈かなえ（じゅんな かなえ）（2012年）
純名つらら（じゅんな つらら）（2013年）
純奈みなみ（じゅんな みなみ）（2010年）
純名もも（じゅんな もも）（2006年）
純野静流（じゅんの しずる）＝真木麗子
JULIA（じゅりあ）（2010年）
城麻美（じょう あさみ）（1995年）（引退）＝佳山由実
城エレン（じょう えれん）（2004年）
庄司えみ（しょうじ えみ）（引退）
庄司きらら（しょうじ きらら）（引退）
庄司みゆき（しょうじ みゆき）（1989年）（引退）
